2025-09-28 09:02:48,248 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\朴西南离专卖店产品质量数据.xlsx, 数据行数: 27
2025-09-28 09:02:48,249 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\朴西圭途专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,255 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\朴西圭途专卖店产品质量数据.xlsx, 数据行数: 6
2025-09-28 09:02:48,255 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\森火拖拖乐产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,263 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\森火拖拖乐产品质量数据.xlsx, 数据行数: 12
2025-09-28 09:02:48,263 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\灏和内衣裤袜专营店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,269 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\灏和内衣裤袜专营店产品质量数据.xlsx, 数据行数: 0
2025-09-28 09:02:48,269 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\灏和服饰配件专营店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,280 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\灏和服饰配件专营店产品质量数据.xlsx, 数据行数: 35
2025-09-28 09:02:48,281 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\灏和袜业专营店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,293 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\灏和袜业专营店产品质量数据.xlsx, 数据行数: 35
2025-09-28 09:02:48,293 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\灏和袜品专营店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,300 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\灏和袜品专营店产品质量数据.xlsx, 数据行数: 7
2025-09-28 09:02:48,300 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\灏和袜子专营店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,312 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\灏和袜子专营店产品质量数据.xlsx, 数据行数: 32
2025-09-28 09:02:48,313 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\灏和针织裤袜专营店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,325 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\灏和针织裤袜专营店产品质量数据.xlsx, 数据行数: 36
2025-09-28 09:02:48,325 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\红豆内衣裤袜官方旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,337 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\红豆内衣裤袜官方旗舰店产品质量数据.xlsx, 数据行数: 53
2025-09-28 09:02:48,338 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\红豆捷昕专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,358 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\红豆捷昕专卖店产品质量数据.xlsx, 数据行数: 118
2025-09-28 09:02:48,358 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\红豆灏和专卖店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,368 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\红豆灏和专卖店产品质量数据.xlsx, 数据行数: 20
2025-09-28 09:02:48,369 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\红豆袜子官方旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,390 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\红豆袜子官方旗舰店产品质量数据.xlsx, 数据行数: 68
2025-09-28 09:02:48,390 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\红豆裤袜官方旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,411 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\红豆裤袜官方旗舰店产品质量数据.xlsx, 数据行数: 93
2025-09-28 09:02:48,412 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\美利奴内衣裤袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,420 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\美利奴内衣裤袜旗舰店产品质量数据.xlsx, 数据行数: 12
2025-09-28 09:02:48,421 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\蕉阳布坊产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,440 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\蕉阳布坊产品质量数据.xlsx, 数据行数: 96
2025-09-28 09:02:48,440 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\诗丽尔袜子产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,449 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\诗丽尔袜子产品质量数据.xlsx, 数据行数: 21
2025-09-28 09:02:48,450 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\雅鹿yaloo运动棉袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,473 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\雅鹿yaloo运动棉袜旗舰店产品质量数据.xlsx, 数据行数: 101
2025-09-28 09:02:48,474 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\雅鹿yaloo运动袜旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,482 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\雅鹿yaloo运动袜旗舰店产品质量数据.xlsx, 数据行数: 9
2025-09-28 09:02:48,482 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\雅鹿儿童针织旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,497 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\雅鹿儿童针织旗舰店产品质量数据.xlsx, 数据行数: 58
2025-09-28 09:02:48,497 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\雅鹿婴童用品旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,511 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\雅鹿婴童用品旗舰店产品质量数据.xlsx, 数据行数: 58
2025-09-28 09:02:48,511 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\雅鹿学生袜子旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,523 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\雅鹿学生袜子旗舰店产品质量数据.xlsx, 数据行数: 44
2025-09-28 09:02:48,524 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\雅鹿男袜官方旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,537 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\雅鹿男袜官方旗舰店产品质量数据.xlsx, 数据行数: 41
2025-09-28 09:02:48,537 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\雅鹿裤袜服饰旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,551 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\雅鹿裤袜服饰旗舰店产品质量数据.xlsx, 数据行数: 61
2025-09-28 09:02:48,551 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\雅鹿运动袜品旗舰店产品质量数据.xlsx 使用引擎: openpyxl
2025-09-28 09:02:48,557 - INFO - 成功读取文件: D:\pdd\产品质量体验存档\2025-09-28\雅鹿运动袜品旗舰店产品质量数据.xlsx, 数据行数: 0
2025-09-28 09:02:48,558 - INFO - 检测到文件 D:\pdd\产品质量体验存档\2025-09-28\雅鹿针织丝袜官方旗舰店产品质量数据.xlsx 使用引擎: openpyxl
